Team1,Team2,rf_model,nn_model,Seed1,Seed2,elo_pred,seed_pred,sim_prob,Pred,Team_Name_1,Team_Name_2
1276,1400,0.58937496,0.5604071,1,3,0.5327361587138705,0.606628948779303,0.591,0.5742160395090271,Michigan,Texas
1104,1400,0.50124997,0.50150675,2,3,0.5696577364594301,0.5701813273111491,0.582,0.5520621203374315,Alabama,Texas
1199,1400,0.59187496,0.70770556,4,3,0.39675297327002473,0.4953613830842577,0.543,0.51811561239203,Florida St,Texas
1160,1400,0.58687496,0.56130344,5,3,0.4070612897856692,0.4578184997195036,0.562,0.4914197025735517,Colorado,Texas
1140,1400,0.5775,0.7007806,6,3,0.39757991859081426,0.42074861817028564,0.56,0.4964196528742128,BYU,Texas
1163,1400,0.486875,0.7504246,7,3,0.3666190336269868,0.3845513935341478,0.551,0.4700915050045869,Connecticut,Texas
1261,1400,0.40687498,0.39330947,8,3,0.39915272353375764,0.3495888390183973,0.493,0.3986668019144027,LSU,Texas
1382,1400,0.4425,0.40608004,9,3,0.3495785911557079,0.3161720118281764,0.569,0.3927258869646425,St Bonaventure,Texas
1268,1400,0.5625,0.51903737,10,3,0.28695648051733535,0.28455198091198697,0.431,0.3793648983960051,Maryland,Texas
1277,1400,0.614375,0.60139275,11,3,0.34868908681802036,0.254915408275968,0.371,0.39913953305589783,Michigan St,Texas
1207,1400,0.59625,0.60443735,12,3,0.34425745919849016,0.22738451668877624,0.407,0.39299590860311406,Georgetown,Texas
1101,1400,0.685,0.68238956,14,3,0.2161218041855397,0.17883139781979523,0.651,0.4011851376794941,Abilene Chr,Texas
1233,1400,0.699375,0.83665586,15,3,0.12810451298239478,0.15777755560140244,0.499,0.3723992723593913,Iona,Texas
1291,1400,0.47687498,0.2180112,16,3,0.07923193262532278,0.1387834712779431,0.413,0.22055957362672832,Mt St Mary's,Texas
1211,1400,0.57124996,0.49881163,1,3,0.7212171537989996,0.606628948779303,0.793,0.6455362528003,Gonzaga,Texas
1234,1400,0.465625,0.6790055,2,3,0.5072957986529776,0.5701813273111491,0.572,0.5530835262938799,Iowa,Texas
1242,1400,0.49625,0.5662066,3,3,0.49515033223737503,0.5329566477940214,0.493,0.515952938268771,Kansas,Texas
1166,1400,0.61062497,0.5577517,5,3,0.4219524791592949,0.4578184997195036,0.551,0.49698837742092,Creighton,Texas
1332,1400,0.40375,0.33676308,7,3,0.449658189912926,0.3845513935341478,0.531,0.41999032188758817,Oregon,Texas
1328,1400,0.55375,0.30388954,8,3,0.2721881082827469,0.3495888390183973,0.506,0.3724562065378584,Oklahoma,Texas
1281,1400,0.515625,0.56607854,9,3,0.2889038490101684,0.3161720118281764,0.386,0.38255075219138784,Missouri,Texas
1179,1400,0.454375,0.58169657,11,3,0.2798489112409133,0.254915408275968,0.58,0.38365716827984764,Drake,Texas
1364,1400,0.77437496,0.8007987,12,3,0.23124115323847025,0.22738451668877624,0.588,0.44006070803768493,UC Santa Barbara,Texas
1325,1400,0.61312497,0.631807,13,3,0.24294265668741577,0.2020207789703722,0.513,0.3782655439399449,Ohio,Texas
1186,1400,0.52687496,0.091201484,14,3,0.20462996322129165,0.17883139781979523,0.524,0.2727141665363363,E Washington,Texas
1213,1400,0.59375,0.6556258,15,3,0.1358579720953424,0.15777755560140244,0.574,0.34437812507905735,Grand Canyon,Texas
1111,1400,0.518125,0.6142234,16,3,0.13244141490726602,0.1387834712779431,0.37,0.29211402722945673,Appalachian St,Texas
1313,1400,0.4075,0.47171453,16,3,0.09345730683739469,0.1387834712779431,0.439,0.25467086877906486,Norfolk St,Texas
1228,1400,0.5675,0.5908855,1,3,0.6433341092953768,0.606628948779303,0.624,0.6117588044803389,Illinois,Texas
1222,1400,0.4975,0.4234448,2,3,0.5538435918471034,0.5701813273111491,0.754,0.56042780689002,Houston,Texas
1329,1400,0.619375,0.48841035,4,3,0.49382650746038814,0.4953613830842577,0.459,0.5064515893161617,Oklahoma St,Texas
1397,1400,0.4125,0.4044652,5,3,0.3561773251442558,0.4578184997195036,0.545,0.42713669601231746,Tennessee,Texas
1361,1400,0.37937498,0.28105712,6,3,0.48940969266768497,0.42074861817028564,0.63,0.44439267456742304,San Diego St,Texas
1155,1400,0.451875,0.22768372,7,3,0.31688108217675554,0.3845513935341478,0.434,0.3594891007698703,Clemson,Texas
1260,1400,0.56874996,0.46530485,8,3,0.42948165258388277,0.3495888390183973,0.665,0.46531367705273013,Loyola-Chicago,Texas
1210,1400,0.35999998,0.5134608,9,3,0.43417065517681463,0.3161720118281764,0.485,0.4084494433804718,Georgia Tech,Texas
1353,1400,0.31937498,0.3320172,10,3,0.29781739790947936,0.28455198091198697,0.416,0.3188758541562483,Rutgers,Texas
1393,1400,0.453125,0.35830504,11,3,0.32041798092449375,0.254915408275968,0.469,0.34729954506036576,Syracuse,Texas
1333,1400,0.37687498,0.2565735,12,3,0.34277756022008365,0.22738451668877624,0.385,0.30839609076821045,Oregon St,Texas
1251,1400,0.26624998,0.46955925,13,3,0.25329388617355236,0.2020207789703722,0.614,0.32291979103577634,Liberty,Texas
1287,1400,0.363125,0.48486024,14,3,0.22755750279520348,0.17883139781979523,0.436,0.2995375812670225,Morehead St,Texas
1156,1400,0.43875,0.6000895,15,3,0.1443583520062034,0.15777755560140244,0.406,0.29273018209063745,Cleveland St,Texas
1180,1400,0.61,0.82540035,16,3,0.12212576643162024,0.1387834712779431,0.447,0.3434598346003241,Drexel,Texas
1124,1400,0.386875,0.11570874,1,3,0.6414430717229697,0.606628948779303,0.689,0.5268182547351813,Baylor,Texas
1326,1400,0.56374997,0.6051276,2,3,0.4663038893651872,0.5701813273111491,0.488,0.5328354335680296,Ohio St,Texas
1116,1400,0.56125,0.49236888,3,3,0.4632824201011292,0.5329566477940214,0.607,0.5218710062455383,Arkansas,Texas
1345,1400,0.42874998,0.07728636,4,3,0.38405418873063335,0.4953613830842577,0.441,0.38655249783144574,Purdue,Texas
1196,1400,0.293125,0.58009547,7,3,0.29133420213011657,0.3845513935341478,0.437,0.3802845192934449,Florida,Texas
1314,1400,0.498125,0.6795335,8,3,0.38612610567329136,0.3495888390183973,0.482,0.44729833258084767,North Carolina,Texas
1317,1400,0.33124998,0.13615444,13,3,0.2189042820312975,0.2020207789703722,0.546,0.26503636387821927,North Texas,Texas
1159,1400,0.52437496,0.65698254,14,3,0.3016717347653016,0.17883139781979523,0.722,0.4091948240153586,Colgate,Texas
1331,1400,0.67875,0.69059944,15,3,0.12933111568371097,0.15777755560140244,0.447,0.3415095460350743,Oral Roberts,Texas
1216,1400,0.665625,0.71003014,16,3,0.12056072645518513,0.1387834712779431,0.417,0.33019193853166107,Hartford,Texas
1276,1382,0.58625,0.6335478,1,9,0.6796196220535784,0.7919305861892572,0.547,0.6728426094486889,Michigan,St Bonaventure
1104,1382,0.59,0.6903804,2,9,0.7112262194432436,0.7660301018993643,0.509,0.6776990015597061,Alabama,St Bonaventure
1199,1382,0.6925,0.5997865,4,9,0.5502990739028826,0.707833075779586,0.474,0.6117929735144054,Florida St,St Bonaventure
1160,1382,0.60625,0.6066854,5,9,0.5608875219726878,0.6757503589140139,0.52,0.6008873156380393,Colorado,St Bonaventure
1140,1382,0.47625,0.6385017,6,9,0.5511536556999117,0.6419268359210296,0.463,0.5662732399754988,BYU,St Bonaventure
1163,1382,0.57124996,0.7909584,7,9,0.518527323378343,0.606628948779303,0.441,0.5790744158156192,Connecticut,St Bonaventure
1261,1382,0.58125,0.558608,8,9,0.5527765252509936,0.5701813273111491,0.436,0.545967673222188,LSU,St Bonaventure
1268,1382,0.554375,0.62946826,10,9,0.4281703952931091,0.4953613830842577,0.349,0.4828438302568233,Maryland,St Bonaventure
1277,1382,0.47562498,0.34701842,11,9,0.49902140258502253,0.4578184997195036,0.314,0.43576045769251986,Michigan St,St Bonaventure
1207,1382,0.47937497,0.49332413,12,9,0.4941286779001276,0.42074861817028564,0.315,0.4453505282686314,Georgetown,St Bonaventure
1101,1382,0.505625,0.55549407,14,9,0.3390525068301103,0.3495888390183973,0.561,0.42848596732669414,Abilene Chr,St Bonaventure
1233,1382,0.511875,0.6009396,15,9,0.21468196867683648,0.3161720118281764,0.418,0.3703603580916335,Iona,St Bonaventure
1291,1382,0.573125,0.30652356,16,9,0.13800771870326625,0.28455198091198697,0.309,0.29053828078236277,Mt St Mary's,St Bonaventure
1211,1382,0.4675,0.27048695,1,9,0.8279829833472665,0.7919305861892572,0.718,0.6708305801910209,Gonzaga,St Bonaventure
1234,1382,0.5075,0.4330149,2,9,0.6570278900382626,0.7660301018993643,0.542,0.6183758437167546,Iowa,St Bonaventure
1242,1382,0.55562496,0.84241545,3,9,0.645997758955005,0.7379722871105325,0.427,0.6561400722839402,Kansas,St Bonaventure
1166,1382,0.46124998,0.40829468,5,9,0.5759400376520665,0.6757503589140139,0.447,0.5457036312020641,Creighton,St Bonaventure
1332,1382,0.43625,0.37147868,7,9,0.6032056934304995,0.606628948779303,0.411,0.5197711332293335,Oregon,St Bonaventure
1328,1382,0.495625,0.22746158,8,9,0.41031649686004995,0.5701813273111491,0.451,0.4478688919825252,Oklahoma,St Bonaventure
