Team1,Team2,rf_model,nn_model,Seed1,Seed2,elo_pred,seed_pred,sim_prob,Pred,Team_Name_1,Team_Name_2
1276,1400,0.58937496,0.5604071,1,3,0.5327361587138705,0.606628948779303,0.591,0.5760294338140033,Michigan,Texas
1104,1400,0.50124997,0.50150675,2,3,0.5696577364594301,0.5701813273111491,0.582,0.5449191557182882,Alabama,Texas
1199,1400,0.59187496,0.70770556,4,3,0.39675297327002473,0.4953613830842577,0.543,0.5469389860779854,Florida St,Texas
1160,1400,0.58687496,0.56130344,5,3,0.4070612897856692,0.4578184997195036,0.562,0.5150116257019379,Colorado,Texas
1140,1400,0.5775,0.7007806,6,3,0.39757991859081426,0.42074861817028564,0.56,0.5313218066716779,BYU,Texas
1163,1400,0.486875,0.7504246,7,3,0.3666190336269868,0.3845513935341478,0.551,0.5078940215741947,Connecticut,Texas
1261,1400,0.40687498,0.39330947,8,3,0.39915272353375764,0.3495888390183973,0.493,0.4083852101697327,LSU,Texas
1382,1400,0.4425,0.40608004,9,3,0.3495785911557079,0.3161720118281764,0.569,0.41666612115372265,St Bonaventure,Texas
1268,1400,0.5625,0.51903737,10,3,0.28695648051733535,0.28455198091198697,0.431,0.41680916546854263,Maryland,Texas
1277,1400,0.614375,0.60139275,11,3,0.34868908681802036,0.254915408275968,0.371,0.43807444725945927,Michigan St,Texas
1207,1400,0.59625,0.60443735,12,3,0.34425745919849016,0.22738451668877624,0.407,0.43586587686690637,Georgetown,Texas
1101,1400,0.685,0.68238956,14,3,0.2161218041855397,0.17883139781979523,0.651,0.4826685523502247,Abilene Chr,Texas
1233,1400,0.699375,0.83665586,15,3,0.12810451298239478,0.15777755560140244,0.499,0.4641825675863884,Iona,Texas
1291,1400,0.47687498,0.2180112,16,3,0.07923193262532278,0.1387834712779431,0.413,0.26518032229676647,Mt St Mary's,Texas
1211,1400,0.57124996,0.49881163,1,3,0.7212171537989996,0.606628948779303,0.793,0.6381815334047596,Gonzaga,Texas
1234,1400,0.465625,0.6790055,2,3,0.5072957986529776,0.5701813273111491,0.572,0.5588215116186066,Iowa,Texas
1242,1400,0.49625,0.5662066,3,3,0.49515033223737503,0.5329566477940214,0.493,0.51671271757,Kansas,Texas
1166,1400,0.61062497,0.5577517,5,3,0.4219524791592949,0.4578184997195036,0.551,0.5198295326135283,Creighton,Texas
1332,1400,0.40375,0.33676308,7,3,0.449658189912926,0.3845513935341478,0.531,0.4211445339532087,Oregon,Texas
1328,1400,0.55375,0.30388954,8,3,0.2721881082827469,0.3495888390183973,0.506,0.3970832996927728,Oklahoma,Texas
1281,1400,0.515625,0.56607854,9,3,0.2889038490101684,0.3161720118281764,0.386,0.4145558809002739,Missouri,Texas
1179,1400,0.454375,0.58169657,11,3,0.2798489112409133,0.254915408275968,0.58,0.4301671716884104,Drake,Texas
1364,1400,0.77437496,0.8007987,12,3,0.23124115323847025,0.22738451668877624,0.588,0.5243598572673097,UC Santa Barbara,Texas
1325,1400,0.61312497,0.631807,13,3,0.24294265668741577,0.2020207789703722,0.513,0.4405790743843652,Ohio,Texas
1186,1400,0.52687496,0.091201484,14,3,0.20462996322129165,0.17883139781979523,0.524,0.3051075609426534,E Washington,Texas
1213,1400,0.59375,0.6556258,15,3,0.1358579720953424,0.15777755560140244,0.574,0.4234022695713314,Grand Canyon,Texas
1111,1400,0.518125,0.6142234,16,3,0.13244141490726602,0.1387834712779431,0.37,0.35471466088419756,Appalachian St,Texas
1313,1400,0.4075,0.47171453,16,3,0.09345730683739469,0.1387834712779431,0.439,0.31009106066762326,Norfolk St,Texas
1228,1400,0.5675,0.5908855,1,3,0.6433341092953768,0.606628948779303,0.624,0.6064697146575385,Illinois,Texas
1222,1400,0.4975,0.4234448,2,3,0.5538435918471034,0.5701813273111491,0.754,0.5597939458143776,Houston,Texas
1329,1400,0.619375,0.48841035,4,3,0.49382650746038814,0.4953613830842577,0.459,0.5111946469336972,Oklahoma St,Texas
1397,1400,0.4125,0.4044652,5,3,0.3561773251442558,0.4578184997195036,0.545,0.43519220944449255,Tennessee,Texas
